cust_id,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents
0.0,41,0.3494924834032875,0.144927536231884,full-time,graduate,married,0.4
0.0,38,0.0719051520877577,0.4927536231884058,full-time,high school,married,0.0
0.0,18,0.0058527449373756,0.0434782608695652,full-time,bachelor,single,0.0
0.0,27,0.0953161318372602,0.3333333333333333,full-time,bachelor,single,0.0
0.0,26,0.0384608953027541,0.3623188405797101,full-time,high school,single,0.0
0.0,22,0.3018344174846574,0.3260869565217391,full-time,graduate,married,0.0
0.0,32,0.1429741977558903,0.2536231884057971,full-time,high school,married,0.0
0.0,42,0.1220715372652631,0.108695652173913,full-time,high school,married,0.4
0.0,52,0.0518385980167555,0.3623188405797101,full-time,some college,married,0.4
0.0,45,0.3352786742696609,0.7753623188405798,part-time,high school,married,0.0
0.0,35,0.0133777027140014,0.1739130434782608,self-employed,some college,single,0.0
0.0,38,0.0259192990083777,0.3623188405797101,full-time,high school,married,0.6000000000000001
0.0,36,0.2834400762529054,0.4057971014492753,full-time,bachelor,single,0.0
0.0,41,0.0292637246868781,0.3913043478260869,full-time,advanced,divorced,0.0
0.0,53,0.4305948061069212,0.3260869565217391,self-employed,bachelor,married,0.4
0.0,33,0.0091971706158759,0.5217391304347827,full-time,some college,single,0.2
0.0,18,0.010033277035501,0.0217391304347826,full-time,high school,single,0.0
0.0,44,0.1371214528185147,0.4057971014492753,self-employed,bachelor,divorced,0.0
0.0,27,0.0,0.6666666666666667,full-time,high school,divorced,0.4
0.0,56,0.7784150766709586,0.3913043478260869,part-time,bachelor,married,0.0
0.0,37,0.2809317569940301,0.3260869565217391,full-time,graduate,married,0.4
0.0,18,0.0,0.036231884057971,part-time,high school,married,0.0
0.0,22,0.0,0.3260869565217391,full-time,graduate,single,0.6000000000000001
0.0,58,0.1722379224427685,0.5507246376811594,full-time,high school,divorced,0.2
0.0,56,0.1429741977558903,0.2681159420289855,contract,bachelor,divorced,0.0
0.0,34,0.0200665540710021,0.1014492753623188,full-time,high school,married,0.4
0.0,45,0.3085232688416581,0.4927536231884058,self-employed,bachelor,married,0.2
0.0,52,0.3227370779752846,0.2246376811594203,self-employed,high school,single,0.4
0.0,33,0.1337770271400143,0.2318840579710145,full-time,bachelor,married,0.4
0.0,39,0.0969883446765104,0.9057971014492754,full-time,high school,married,0.6000000000000001
0.0,20,0.0,0.1594202898550724,full-time,high school,single,0.0
0.0,44,0.9381114028193508,0.181159420289855,self-employed,graduate,divorced,0.0
0.0,50,0.2349459039146502,0.2608695652173913,full-time,bachelor,married,0.0
0.0,36,0.5443052791759334,0.0,full-time,advanced,married,0.6000000000000001
0.0,47,0.7993177371615858,0.8115942028985508,full-time,advanced,married,0.6000000000000001
0.0,23,0.0326081503653785,0.3768115942028985,full-time,some college,married,0.0
0.0,52,0.0025083192588752,0.3115942028985507,full-time,high school,single,0.2
0.0,24,0.0,0.1666666666666666,full-time,bachelor,single,0.2
0.0,35,0.1521713683717663,0.0869565217391304,part-time,graduate,married,0.0
0.0,39,0.0183943412317519,0.2246376811594203,full-time,bachelor,single,0.2
0.0,18,0.0,0.0,full-time,high school,single,0.2
0.0,69,0.0,0.1014492753623188,part-time,high school,married,0.8
0.0,25,0.3996588685807929,0.5217391304347827,full-time,bachelor,single,0.2
0.0,44,0.6922961154495744,0.463768115942029,self-employed,graduate,single,0.2
0.0,35,0.0827745355428838,0.3043478260869565,full-time,bachelor,married,0.4
0.0,49,0.242470861691276,0.4130434782608696,full-time,high school,married,0.2
0.0,20,0.0744134713466329,0.1594202898550724,self-employed,bachelor,single,0.2
0.0,31,0.1672212839250179,0.108695652173913,full-time,some college,married,0.0
0.0,32,0.0108693834551261,0.5579710144927538,self-employed,some college,married,0.2
0.0,44,0.3938061236434172,0.0579710144927536,self-employed,high school,divorced,0.2
0.0,38,0.1463186234343907,0.6666666666666667,full-time,high school,married,0.4
0.0,42,0.4322670189461713,0.4565217391304348,full-time,graduate,single,0.4
0.0,39,0.0401331081420043,0.5507246376811594,full-time,high school,married,0.2
0.0,25,0.3428036320462868,0.0797101449275362,self-employed,graduate,single,0.2
0.0,37,0.6571796458253206,0.2971014492753623,full-time,advanced,single,0.2
0.0,53,0.1596963261483921,0.5144927536231885,full-time,some college,single,0.2
0.0,28,0.2165515626828982,0.6956521739130436,part-time,high school,single,0.4
0.0,33,0.0,0.6086956521739131,self-employed,high school,divorced,0.2
0.0,39,0.0,0.2753623188405797,contract,high school,married,0.6000000000000001
0.0,23,0.3461480577247872,0.1231884057971014,full-time,bachelor,single,0.0
0.0,40,0.2483236066286517,0.0507246376811594,full-time,graduate,divorced,0.0
0.0,29,0.0108693834551261,0.0797101449275362,contract,high school,married,0.8
0.0,41,0.1630407518268925,0.3623188405797101,full-time,high school,married,0.6000000000000001
0.0,56,0.1178910051671376,0.3623188405797101,full-time,high school,married,0.0
0.0,41,0.028427618267253,0.5072463768115942,self-employed,bachelor,married,0.6000000000000001
0.0,37,0.7048377117439507,0.4202898550724638,self-employed,advanced,married,0.4
0.0,61,0.530927576461932,0.0942028985507246,self-employed,bachelor,married,0.2
0.0,59,0.1714018160231434,0.036231884057971,full-time,bachelor,divorced,0.2
0.0,46,0.0643801943111319,0.5942028985507247,full-time,bachelor,divorced,0.4
0.0,44,0.0,0.4565217391304348,full-time,bachelor,single,0.4
0.0,35,0.0819384291232588,1.0,full-time,bachelor,single,0.6000000000000001
0.0,35,0.3026705239042825,0.6594202898550726,full-time,bachelor,married,0.2
0.0,31,0.09364391899801,0.7101449275362319,part-time,some college,married,0.4
0.0,53,0.1446464105951405,0.0289855072463768,full-time,high school,divorced,0.2
0.0,45,0.1889600508352703,0.4999999999999999,full-time,some college,married,0.4
0.0,43,0.0627079814718817,0.4275362318840579,full-time,bachelor,married,0.0
0.0,27,0.1504991555325161,0.3405797101449275,full-time,bachelor,single,0.2
0.0,51,0.5484858112740589,0.5507246376811594,full-time,high school,married,0.2
0.0,49,0.6713934549589471,0.0,self-employed,some college,married,0.6000000000000001
